English,Polish,Spanish
these,te,estos
help,pomoc,ayuda
first,Pierwszy,primero
into,do,en
anything,wszystko,cualquier cosa
still,Nadal,aún
find,znajdować,encontrar
life,życie,vida
nothing,Nic,nada
sir,Pan,Señor
day,dzień,día
god,Bóg,dios
work,praca,trabajar
their,ich,su
uh,uh,oh
again,Ponownie,de nuevo
maybe,Może,tal vez
must,musieć,debe
before,zanim,antes
other,Inny,otro
wait,Czekać,esperar
stop,zatrzymywać się,detener
call,dzwonić,llamar
after,Po,después
won,wygrał,ganado
talk,rozmawiać,hablar
away,z dala,lejos
than,niż,que
thought,myśl,pensamiento
home,dom,hogar
night,noc,noche
put,umieścić,poner
great,Świetnie,excelente
those,te,aquellos
last,ostatni,último
better,lepsza,mejor
everything,wszystko,todo
told,powiedział,dijo
mr.,Pan.,señor.
new,nowy,nuevo
things,rzeczy,cosas
always,zawsze,siempre
keep,trzymać,mantener
long,długi,largo
years,lata,años
leave,Zostawić,dejar
does,robi,hace
money,pieniądze,dinero
around,wokół,alrededor
doesn,czyn,no
name,nazwa,nombre
place,miejsce,lugar
ever,kiedykolwiek,alguna vez
feel,czuć,sentir
guys,Chłopaki,tipo
father,ojciec,padre
guy,facet,chico
made,zrobiony,hecho
old,stary,viejo
which,Który,cual
big,duży,grande
lot,działka,lote
done,zrobione,hecho
hello,Witam,Hola
nice,Ładny,lindo
believe,uważać,creer
girl,dziewczyna,chica
someone,ktoś,alguien
fine,Cienki,bien
thanks,Dzięki,gracias
wanted,poszukiwany,buscado
kind,Uprzejmy,amable
coming,nadchodzący,próximo
house,dom,casa
every,każdy,cada
ok,OK,OK
through,Poprzez,a través de
being,istnienie,ser
course,kurs,curso
stay,zostawać,permanecer
left,lewy,izquierda
dad,tata,papá
enough,wystarczająco ,suficiente
happened,stało się,sucedió
came,wszedł,vino
may,móc,puede
mother,matka,madre
wrong,zło,equivocado
world,świat,mundo
bad,zły,malo
might,móc,podría
three,trzy,tres
today,Dzisiaj,hoy
listen,Słuchać,escuchar
another,inny,otro
understand,zrozumieć,entender
hear,słyszeć,escuchar
remember,Pamiętać,recordar
ask,zapytać,preguntar
own,własny,propio
same,To samo,mismo
show,pokazywać,espectáculo
else,w przeciwnym razie,demás
kill,zabić,matar
talking,rozmawiając,hablando
found,znaleziony,encontró
next,Następny,próximo
getting,dostawanie,conseguir
care,opieka,cuidado
car,samochód,auto
looking,patrząc,mirando
son,syn,hijo
try,próbować,intentar
woman,kobieta,mujer
went,wszedł ,fue
hi,Cześć,Hola
dead,martwy,muerto
many,wiele,muchos
mind,umysł,mente
wasn,był,no era
friend,przyjaciel,amigo
best,"to, co najlepsze",mejor
mom,mama,mamá
hell,piekło,infierno
morning,Poranek,mañana
trying,próbować,intentando
boy,chłopak,chico
together,razem,juntos
yourself,się,tú mismo
job,stanowisko,trabajo
saw,piła,sierra
family,rodzina,familia
real,prawdziwy,real
without,bez,sin
baby,Dziecko,bebé
room,pokój,habitación
wouldn,by,no
already,już,ya
move,przenosić,mover
most,bardzo,mayoría
seen,widziany,visto
live,na żywo,vivir
miss,chybić,extrañar
actually,Właściwie,de hecho
huh,Huh,eh
shit,gówno,mierda
both,Zarówno,ambos
heard,usłyszał,escuchó
once,raz,una vez
ready,gotowy,listo
head,głowa,cabeza
called,zwany,llamado
used,używany,usado
idea,pomysł,idea
knew,wiedziałem,sabía
hold,trzymać,sostener
happy,szczęśliwy,feliz
door,drzwi,puerta
such,taki,semejante
brother,brat,hermano
also,Również,también
pretty,ładny,bonito
bit,fragment,poco
took,wziął,tomó
haven,przystań,refugio
yet,już,todavía
men,mężczyźni,hombres
whole,cały,entero
start,początek,comenzar
use,używać,usar
while,chwila,mientras
since,od,desde
wife,żona,esposa
days,dni,días
guess,zgadywać,adivinar
tomorrow,jutro,mañana
matter,materiał,asunto
meet,poznać,encontrarse
bring,przynieść,traer
tonight,dziś wieczorem,esta noche
everyone,wszyscy,todos
run,uruchomić,correr
wanna,chcieć,querer
hard,twardy,duro
ah,Ah,ahorcado
alone,sam,solo
myself,ja,mí mismo
school,szkoła,escuela
gone,stracony,desaparecido
um,um,um
end,koniec,fin
saying,powiedzenie,dicho
phone,telefon,teléfono
play,grać,jugar
looks,Wygląd,aspecto
couldn,Czy mógł,se pudo
problem,problem,problema
few,kilka,pocos
friends,przyjaciele,amigos
gotta,musieć,tengo que
ago,temu,atrás
open,otwarty,abierto
anyone,ktokolwiek,alguien
killed,zabity,delicado
hope,mieć nadzieję,esperanza
face,twarz,rostro
until,dopóki,hasta
lost,zaginiony,perdido
police,Policja,policía
excuse,wymówka,disculpar
turn,zakręt,doblar
business,biznes,negocio
case,sprawa,caso
wants,chce,quiere
says,mówi,dice
die,umierać,morir
heart,serce,corazón
soon,Wkrótce,pronto
each,każdy,cada
worry,martwić się,preocuparse
later,później,más tarde
year,rok,año
watch,oglądać,mirar
music,muzyka,música
hand,ręka,mano
having,mający,teniendo
probably,prawdopodobnie,probablemente
beautiful,Piękny,hermoso
doctor,lekarz,doctor
sit,siedzieć,sentarse
eat,jeść,comer
thinking,myślący,pensamiento
young,młody,joven
second,drugi,segundo
working,pracujący,laboral
water,woda,agua
person,osoba,persona
part,część,parte
kids,Dzieci,niños
late,późno,tarde
stuff,rzeczy,cosa
exactly,Dokładnie,exactamente
under,pod ,bajo
death,śmierć,muerte
minute,minuta,minuto
pay,płacić,pagar
crazy,zwariowany,loco
forget,zapominać,olvidar
everybody,wszyscy,todos
kid,dziecko,niño
change,zmiana,cambiar
gave,dał,dio
happen,zdarzyć,suceder
damn,Cholera,maldición
five,pięć,cinco
drink,drink,beber
far,daleko,lejos
knows,wie,saber
its,jego,es
whatever,cokolwiek,lo que
eyes,oczy,ojos
shut,zamknąć,cerrar
aren,Aren,no sean
hit,uderzyć,golpear
taking,nabierający,tomando
easy,łatwy,fácil
times,czasy,veces
check,sprawdzać,controlar
hands,ręce,manos
minutes,minuty,minutos
deal,umowa,trato
different,różny,diferente
means,oznacza,medio
point,punkt,punto
inside,wewnątrz,adentro
makes,robi,marcas
asked,spytał,preguntó
somebody,ktoś,alguien
mine,kopalnia,mío
making,zrobienie,haciendo
body,ciało,cuerpo
afraid,przestraszony,asustado
sleep,spać,dormir
chance,szansa,oportunidad
dear,Drogi,estimado
quite,całkiem,bastante
four,cztery,cuatro
anyway,W każdym razie,de todos modos
close,zamknąć,cerca
party,impreza,fiesta
fun,zabawa,divertido
against,przeciwko,contra
word,słowo,palabra
comes,pochodzi,llega
important,ważny,importante
set,ustawić,colocar
shall,być,deberá
story,fabuła,historia
number,numer,número
daughter,córka,hija
least,najmniej,el menos
waiting,Czekanie,espera
hurt,zraniony,herir
wish,życzenie,desear
moment,za chwilę,momento
fight,walka,luchar
week,tydzień,semana
husband,mąż,marido
girls,dziewczyny,chicas
rest,odpoczynek,descansar
married,żonaty,casado
fire,ogień,fuego
game,gra,juego
nobody,nikt,nadie
mr,Pan,señor
children,dzieci,niños
side,strona,lado
stand,podstawka,pararse
read,Czytać,leer
though,chociaż,aunque
cut,cięcie,cortar
started,Rozpoczęty,comenzó
sister,siostra,hermana
supposed,przypuszczalny,supuesto
between,między,entre
child,dziecko,niño
goes,wchodzi,va
hours,godziny,horas
speak,mówić,hablar
women,kobiety,mujer
behind,za,detrás
almost,prawie,casi
truth,prawda,verdad
blood,krew,sangre
able,zdolny,capaz
lady,dama,dama
anymore,nie więcej,ya no
playing,gra,jugando
gets,dostaje,obtiene
shot,strzał,disparo
reason,powód,razón
trouble,kłopoty,problema
break,przerwa,romper
war,wojna,guerra
city,miasto,ciudad
walk,chodzić,caminar
town,miasto,ciudad
trust,zaufanie,confianza
met,spotkał,reunió
office,biuro,oficina
question,pytanie,pregunta
brought,przyniósł,trajo
yours,twój,tuyo
welcome,Witamy,bienvenido
high,wysoki,alto
wow,Wow,Guau
couple,para,pareja
half,połowa,medio
died,zmarł,fallecido
cool,Fajny,Frío
free,bezpłatny,gratis
either,albo,cualquiera
seems,wydaje się,parece
power,moc,fuerza
whoa,Whoa,whoa
bye,do widzenia,adiós
buy,kupić,comprar
telling,wymowny,narración
honey,Miód,Miel
tried,wypróbowany,intentó
front,przód,frente
team,zespół,equipo
answer,odpowiedź,respuesta
gun,pistolet,pistola
boys,chłopcy,Niños
line,linia,línea
send,wysłać,enviar
news,Aktualności,noticias
stupid,głupi,estúpido
bed,łóżko,cama
hurry,spieszyć się,apurarse
full,pełny,lleno
months,miesiące,meses
save,ratować,ahorrar
sometimes,Czasami,a veces
become,stać się,convertirse
along,przed siebie,a lo largo de
hate,nienawidzić,odiar
food,żywność,alimento
outside,poza,afuera
light,światło,luz
needs,wymagania,necesidades
dog,pies,perro
country,kraj,país
clear,jasne,claro
order,zamówienie,orden
fact,fakt,hecho
lord,Lord,caballero
captain,kapitan,capitán
six,sześć,seis
hot,gorący,caliente
funny,śmieszny,divertido
black,czarny,negro
mrs.,pani.,señora.
alive,żywy,vivo
pick,wybierać,elegir
feeling,uczucie,sentimiento
living,żyjący,viviendo
cause,przyczyna,causa
ahead,dalej,adelante
lose,stracić,perder
king,król,rey
plan,plan,plan
dinner,kolacja,cena
sighs,wzdycha,suspiros
sort,sortować,clasificar
leaving,odjazd,partida
shouldn,powinien,debería
running,działanie,correr
boss,szef,jefe
alright,W porządku,está bien
promise,obietnica,promesa
taken,zajęty,tomado
safe,bezpieczna,seguro
ma,mama,mamá
book,książka,libro
sent,wysłano,enviado
white,biały,blanco
hour,godzina,hora
anybody,ktoś,cualquiera
small,mały,pequeño
perfect,doskonały,perfecto
cause,przyczyna,causa
lives,zyje,vidas
special,specjalny,especial
parents,rodzice,padres
john,Jan,John
himself,samego siebie,él mismo
perhaps,być może,tal vez
sounds,Dźwięki,sonidos
serious,poważny,grave
sick,chory,enfermo
company,firma,compañía
ha,ha,Ja
scared,przestraszony,asustado
uncle,wujek,tío
poor,słaby,pobre
red,czerwony,rojo
past,przeszłość,pasado
earth,ziemia,tierra
possible,możliwy,posible
shoot,strzelać,disparar
touch,dotykać,tocar
sound,dźwięk,sonido
top,szczyt,arriba
ass,tyłek,culo
laughs,śmiech,risas
cannot,Nie mogę,no puedo
asking,pytając,preguntando
win,wygrać,ganar
glad,zadowolony,contento
control,kontrola,control
hmm,Hmm,Mmm
human,człowiek,humano
drive,prowadzić,conducir
hair,włosy,cabello
jack,Jacek,Jacobo
bitch,suka,perra
luck,szczęście,suerte
murder,morderstwo,asesinato
happens,dzieje się,ocurrir
air,powietrze,aire
ten,dziesięć,diez
daddy,tatuś,papá
finally,Wreszcie,finalmente
chuckles,Chichocze,risas
fast,szybko,rápido
cold,zimno,frío
seem,wydaje się,parecer
laughing,śmiać się,reír
words,słowa,palabras
hospital,szpital,hospital
street,ulica,calle
hang,powiesić,colgar
dance,taniec,bailar
meeting,spotkanie,reunión
till,do,hasta
others,inni,otros
catch,złapać,atrapar
follow,podążać,seguir
sense,sens,sentido
lie,kłamstwo,mentir
evening,wieczór,noche
master,gospodarz,maestro
known,znany,conocido
dream,marzenie,sueño
write,pisać,escribir
million,milion,millón
voice,głos,voz
sweet,słodki,dulce
rather,raczej,bastante
felt,filc,sintió
sign,podpisać,firmar
lucky,mający szczęście,afortunado
somewhere,gdzieś,en algún lugar
bet,Zakład,apuesta
jesus,Jezus,Jesús
longer,dłużej,más extenso
calling,powołanie,vocación
worked,pracował,trabajó
quiet,cichy,tranquilo
looked,wyglądał,miró
less,mniej,menos
pull,ciągnąć,jalar
beat,pokonać,derrotar
careful,ostrożny,cuidadoso
coffee,Kawa,café
return,powrót,devolver
secret,sekret,secreto
weeks,tygodnie,semanas
weren,Weren,no
date,data,fecha
seeing,widzenie,vidente
fall,jesień,caer
given,dany,dado
ooh,ooh,Oh
fault,wada,falla
straight,prosty,derecho
takes,trwa,acepta
song,piosenka,canción
future,przyszły,futuro
gentlemen,Panowie,caballeros
loved,kochany,amado
changed,zmienione,cambió
road,droga,camino
calm,spokój,calma
wonderful,wspaniały,maravilloso
mad,szalony,enojado
turned,obrócony,transformado
drop,upuszczać,gota
ladies,damski,señoras
learn,uczyć się,aprender
step,krok,paso
absolutely,absolutnie,absolutamente
early,wczesny,temprano
explain,wyjaśnić,explicar
clean,czysty,limpio
piece,sztuka,pedazo
yesterday,Wczoraj,ayer
throw,rzucić,tirar
picture,zdjęcie,imagen
land,grunt,tierra
feet,stopy,pies
wonder,zastanawiać się,preguntarse
questions,pytania,preguntas
speaking,mówienie,discurso
worth,wartość,valer
darling,Kochanie,querida
dude,gość,dudar
giving,dający,donación
president,prezydent,presidente
eye,oko,ojo
quick,szybki,rápido
moving,poruszający,Moviente
figure,postać,cifra
state,państwo,estado
strong,mocny,fuerte
sam,Sam,Sam
none,nic,ninguno
amazing,niesamowity,asombroso
ones,te,unos
works,Pracuje,obras
act,działać,acto
needed,potrzebne,necesario
weird,dziwny,extraño
law,prawo,ley
worried,zmartwiony,preocupado
report,raport,informe
goodbye,do widzenia,adiós
missing,zaginiony,desaparecido
choice,wybór,elección
happening,wydarzenie,sucediendo
chief,szef,jefe
wedding,ślub,boda
strange,dziwny,extraño
general,ogólny,general
pain,ból,dolor
am,jestem  ,soy
kidding,żart,bromear
decided,zdecydowany,decidido
ya,ya,ya
pass,przechodzić,aprobar
tired,zmęczony,cansado
class,klasa,clase
officer,oficer,oficial
kept,trzymane,conservó
wake,budzić,despertar
worse,gorzej,peor
busy,zajęty,ocupado
eh,Eh,eh
mistake,błąd,error
kiss,pocałunek,beso
court,sąd,corte
building,budynek,edificio
finish,skończyć,finalizar
during,podczas,durante
age,wiek,edad
ship,statek,barco
caught,złapany,atrapó
marry,ożenić,casar
meant,oznaczał,quiso decir
sell,sprzedać,vender
dark,ciemny,oscuro
watching,oglądanie,mirando
system,system,sistema
suppose,przypuszczać,suponer
evidence,dowód,evidencia
movie,film,película
ride,jeździć,conducir
completely,całkowicie,completamente
mouth,usta,boca
totally,całkowicie,totalmente
birthday,urodziny,cumpleaños
tv,telewizja,televisor
forgive,Wybacz,perdonar
born,urodzić się,nacido
imagine,wyobrażać sobie,imaginar
information,Informacja,información
instead,Zamiast,en cambio
definitely,zdecydowanie,definitivamente
security,bezpieczeństwo,seguridad
certainly,z pewnością,ciertamente
film,film,película
month,miesiąc,mes
lying,kłamliwy,mintiendo
unless,chyba że,a menos que
train,pociąg,tren
seven,siedem,Siete
wear,nosić ,tener puesto
clothes,odzież,ropa
michael,Michael,Miguel
hotel,hotel,hotel
christmas,Boże Narodzenie,Navidad
attack,atak,ataque
hasn,HAD,no ha
round,okrągły,redondo
expect,oczekiwać,esperar
sing,śpiewać,cantar
terrible,straszny,horrible
george,Jerzy,Jorge
bag,torba,bolsa
history,historia,historia
blue,niebieski,azul
near,w pobliżu,cerca
broke,złamał,en bancarrota
station,stacja,estación
seriously,poważnie,en serio
forever,na zawsze,para siempre
david,David,David
frank,szczery,franco
except,z wyjątkiem,excepto
thinks,myśli,pensamiento
message,wiadomość,mensaje
entire,cały,completo
table,tabela,mesa
talked,rozmawiałem,habló
across,przez,al otro lado de
rock,głaz,roca
lovely,śliczny,hermoso
handle,uchwyt,manejar
middle,środek,medio
buddy,kumpel,compañero
paid,płatny,pagado
protect,chronić,proteger
using,za pomocą,usando
floor,podłoga,piso
ran,biegł,corrió
swear,przeklinać,jurar
spend,wydawać,gastar
situation,sytuacja,situación
ring,pierścień,anillo
anywhere,gdziekolwiek,en cualquier lugar
dangerous,niebezpieczny,peligroso
bill,rachunek,factura
york,York,York
army,armia,ejército
lead,Ołów,dirigir
bought,kupił,compró
finished,skończone,finalizado
fair,sprawiedliwy,justo
sun,słońce,sol
letter,list,carta
fool,głupiec,tonto
attention,uwaga,atención
club,Klub,club
simple,prosty,simple
interesting,ciekawy,interesante
space,przestrzeń,espacio
test,test,prueba
box,skrzynka,caja
group,Grupa,grupo
single,pojedynczy,soltero
sitting,posiedzenie,sesión
marriage,małżeństwo,casamiento
join,dołączyć,unirse
fear,strach,miedo
d,D,d
peace,pokój,paz
forgot,zapomniałem,olvidó
force,siła,fuerza
short,krótki,corto
normal,normalna,normal
charlie,Charlie,charlie
present,obecny,presente
enjoy,Cieszyć się,disfrutar
mike,mikrofon,Miguel
crime,przestępczość,delito
horse,koń,caballo
ground,grunt,suelo
american,amerykański,americano
count,liczyć,contar
area,obszar,área
charge,opłata,cargar
honor,honor,honor
lunch,obiad,almuerzo
miles,mil,millas
radio,radio,radio
idiot,idiota,estúpido
ball,piłka,pelota
surprise,niespodzianka,sorpresa
paper,papier,papel
key,klucz,llave
boat,łódź,bote
quickly,szybko,rápidamente
gold,złoto,oro
bar,bar,bar
fish,ryba,pez
mark,ocena,marca
wearing,ma na sobie,agotador
crying,płacz,llanto
accident,wypadek,accidente
government,rząd,gobierno
eight,osiem,ocho
fell,ściąć,cayó
cover,okładka,cubrir
certain,niektórzy,cierto
interested,zainteresowany,interesado
deep,głęboko,profundo
star,gwiazda,estrella
sea,morze,mar
agree,zgadzać się,aceptar
problems,problemy,problemas
detective,detektyw,detective
prison,więzienie,prisión
major,główny,importante
stick,stick,palo
offer,oferta,oferta
difficult,trudny,difícil
smart,mądry,elegante
personal,osobisty,personal
record,nagrywać,registro
stopped,zatrzymany,interrumpido
hide,ukrywać,esconder
whether,czy,si
bank,Bank,banco
trip,wycieczka,viaje
relax,zrelaksować się,relajarse
america,Ameryka,America
public,publiczny,público
list,lista,lista
afternoon,popołudnie,tarde
brain,mózg,cerebro
fix,naprawić,arreglar
bastard,bękart,bastardo
proud,dumny,orgulloso
tea,herbata,té
service,praca,servicio
screaming,Krzyczenie,gritando
forward,do przodu,adelante
angry,zły,enojado
park,park,parque
soul,dusza,alma
fighting,walczący,lucha
peter,Piotr,péter
rich,bogaty,rico
agent,agent,agente
blow,cios,explotar
paul,Paweł,Pablo
dress,sukienka,vestido
mary,Mary,María
missed,pominięty,omitido
scene,scena,escena
killing,zabicie,asesinato
standing,na stojąco,de pie
saved,uratowany,salvado
mm,mm,mm
respect,szacunek,respeto
killer,zabójca,asesino
ice,lód,hielo
mess,bałagan,desorden
tough,trudny,difícil
feels,odczucia,siente
church,kościół,iglesia
sad,smutny,triste
cell,komórka,celúla
drunk,pijany,ebrio
share,udział,compartir
camera,kamera,cámara
mm-hmm,MM-HMM,mm-hmm
within,w,dentro
card,karta,tarjeta
fly,latać,volar
ben,Ben,ben
girlfriend,dziewczyna,novia
laugh,śmiech,reír
smell,zapach,oler
broken,złamany,roto
mum,milczący,mamá
honest,uczciwy,honesto
often,często,a menudo
starting,startowy,a partir de
calls,połączenia,llamadas
y,y,Y
spent,zużyty,gastado
third,trzeci,tercero
english,język angielski,inglés
visit,odwiedzać,visita
mama,mama,mamá
judge,sędzia,juez
window,okno,ventana
hungry,głodny,hambriento
dare,odważyć się,atrevimiento
relationship,relacja,relación
moved,przeniósł,movido
prove,udowodnić,probar
private,prywatny,privado
wall,ściana,muro
seat,siedziba,asiento
i-i,I-i,I-I
position,pozycja,posición
lieutenant,porucznik,teniente
realize,realizować,darse cuenta
lt,Lt,teniente
especially,zwłaszcza,especialmente
machine,maszyna,máquina
walking,pieszy,caminando
art,sztuka,arte
pleasure,przyjemność,placer
bloody,krwawy,sangriento
college,Szkoła Wyższa,colega
french,Francuski,francés
involved,zaangażowany,involucrado
cry,płakać,llorar
became,stał się,convertirse
lived,żył,vivido
impossible,niemożliwe,imposible
obviously,oczywiście,obviamente
neither,żaden,ni
accept,zaakceptować,aceptar
boyfriend,chłopak,novio
besides,Oprócz,además
queen,królowa,reina
teacher,nauczyciel,maestro
cops,gliny,policías
sake,powód,beneficio
loves,kocha,ama
carry,nosić,llevar
teach,uczyć,enseñar
apartment,apartament,departamento
upset,zdenerwowany,decepcionado
green,zielony,verde
la,la,la
liked,lubiane,apreciado
cute,Uroczy,lindo
evil,zło,demonio
professor,profesor,profesor
contact,kontakt,contacto
joke,żart,broma
cop,policjant,policía
huge,ogromny,enorme
holy,święty,santo
store,sklep,almacenar
jail,więzienie,celda
likes,lubi,gustos
lawyer,prawnik,abogado
doubt,wątpliwość,duda
continue,Kontynuować,continuar
appreciate,doceniać,agradecer
cat,kot,gato
shop,sklep,comercio
driving,napędowy,conduciendo
congratulations,Gratulacje,Felicidades
wrote,napisał,escribió
village,wieś,aldea
quit,zrezygnować ,abandonar
field,pole,campo
james,James,Jaime
wine,wino,vino
decision,decyzja,decisión
south,południe,sur
sleeping,spanie,durmiendo
slow,powolny,lento
laughter,śmiech,risa
island,wyspa,isla
glass,szkło,vaso
beginning,początek,comienzo
cash,gotówka,dinero
dying,umierający,muriendo
hundred,sto,centenar
whose,którego,cuyo
difference,różnica,diferencia
plane,samolot,avión
push,naciskać,empujar
continues,trwa,continúa
mmm,mmm,mmm
singing,śpiewanie,cantando
eating,jedzenie,comiendo
north,północ,norte
mrs,pani,señora
tree,drzewo,árbol
madam,Szanowna Pani,señora
gift,prezent,regalo
truck,ciężarówka,camión
putting,umieszczanie,poniendo
bear,niedźwiedź,oso
board,tablica,junta
grab,złapać,agarrar
beer,piwo,cerveza
stuck,zablokowany,atascado
magic,magia,magia
support,wsparcie,apoyo
rules,zasady,normas
grunts,chrząknięcie,gruñidos
partner,partner,pareja
reach,zasięg,alcanzar
wind,wiatr,viento
colonel,pułkownik,coronel
max,Max,máximo
immediately,natychmiast,inmediatamente
seconds,sekundy,segundos
thousand,tysiąc,mil
gives,daje,da
experience,doświadczenie,experiencia
cheers,dzięki,salud
victim,ofiara,víctima
upon,od,al
computer,komputer,computadora
christ,Chrystus,Cristo
planet,planeta,planeta
promised,Obiecane,prometido
bus,autobus,autobús
henry,henz,Enrique
dirty,brudny,sucio
search,szukaj,buscar
staying,przebywający,estancia
dreams,sny,Sueños
arrest,aresztować,arrestar
holding,trzymać,tenencia
suddenly,Nagle,de repente
usually,zazwyczaj,generalmente
lots,dużo,lotes
shoes,buty,zapatos
er,ER,jerga
jump,skok,saltar
rid,eliminować,deshacerse
yo,Siema,yo
knock,pukanie,golpear
owe,być winnym,deber
harry,złupić,Harry
grow,rosnąć,crecer
worst,najgorszy,el peor
river,rzeka,río
aunt,ciotka,tía
patient,pacjent,paciente
kitchen,kuchnia,cocina
aah,Aah,aah
fat,tłuszcz,gordo
passed,przeszedł,aprobado
m,M,metro
final,finał,final
summer,lato,verano
bob,pion,Beto
listening,słuchający,escuchando
escape,ucieczka,escapar
everywhere,wszędzie,en todos lados
moon,księżyc,luna
arms,ramiona,brazos
turns,zakręty,vueltas
address,adres,DIRECCIÓN
ow,OW,Ay
match,mecz,fósforo
gasps,Sapps,jadeo
grand,wielki,grandioso
yep,Tak,sí
shh,shh,shh
nervous,nerwowy,nervioso
de,de,Delaware
choose,wybierać,elegir
themselves,sobie,ellos mismos
decide,decydować,decidir
mate,kumpel,compañero
drinking,picie,Bebiendo
press,naciskać,prensa
bother,silić się,molestar
foot,stopa,pie
hadn,Hadn,haden
blame,winić,culpa
crap,gówno,tonterías
drugs,narkotyki,drogas
type,typ,tipo
rings,pierścienie,anillos
mission,misja,misión
named,o imieniu,llamado
heaven,niebo,cielo
ii,ii,II
picked,doborowy,escogido
paris,Paryż,París
race,wyścig,carrera
risk,ryzyko,riesgo
books,książki,libros
further,dalej,más
danny,Danny,danny
action,działanie,acción
allowed,dozwolony,permitido
orders,Zamówienia,pedidos
learned,nauczyli,aprendió
price,cena,precio
arrived,przybył,llegó
nick,nacięcie,mella
otherwise,W przeciwnym razie,de lo contrario
pictures,kino,fotos
fit,pasować,adaptar
smoke,palić,fumar
favor,przychylność,favor
played,grał,jugó
notice,ogłoszenie,aviso
awesome,Wspaniały,impresionante
smile,uśmiech,sonrisa
director,dyrektor,director
guard,strażnik,guardia
begin,zaczynać,comenzar
spot,miejsce,lugar
surprised,zaskoczony,sorprendido
innocent,niewinny,inocente
narrator,narrator,narrador
herself,się,sí misma
london,Londyn,Londres
feelings,uczucia,sentimientos
enemy,wróg,enemigo
battle,bitwa,batalla
ourselves,my sami,nosotros mismos
alex,Alex,Alex
dollars,dolary,dólares
allow,umożliwić,permitir
nine,dziewięć,nueve
gay,Gay,gay
department,dział,departamento
guilty,winny,culpable
apart,oprócz,aparte
earlier,wcześniej,más temprano
duty,obowiązek,deber
jim,Jim,Jim
suit,garnitur,traje
bell,dzwonek,campana
west,Zachód,Oeste
legs,nogi,piernas
hero,bohater,héroe
destroy,zniszczyć,destruir
stage,scena,escenario
bunch,garść,racimo
according,według,de acuerdo a
chicken,kurczak,pollo
bigger,Większy,más grande
grunting,pochrząkiwanie,gruñido
low,Niski,bajo
helping,agregat,Ayudar
admit,przyznawać ,admitir
closed,Zamknięte,cerrado
names,nazwy,nombres
witness,świadek,testigo
upstairs,na górę,piso superior
arm,ramię,brazo
steal,ukraść,robar
jimmy,Jimmy,palanqueta
kick,kopnięcie,patada
twice,dwa razy,dos veces
cross,przechodzić,cruz
ways,sposoby,maneras
sergeant,sierżant,sargento
indeed,Rzeczywiście,en efecto
gas,gaz,gas
keeping,konserwacja,acuerdo
energy,energia,energía
pregnant,w ciąży,embarazada
waste,marnować,desperdiciar
helped,pomógł,ayudó
fired,zwolniony,despedido
favorite,ulubiony,favorito
tony,Tony,Tony
taste,smak,gusto
locked,zablokowany,encerrado
places,miejsca,lugares
writing,pismo,escribiendo
adam,Adam,Adán
